survey_id,step,step_idx,model_id,seed_song_id,genre,playlist_number,relevance,novelty,satisfaction,age,country,age_group,model_type
17,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,3,4,30,DEU,20-35,Multimodal (Simple)
17,7,6,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,5,3,30,DEU,20-35,Multimodal (Advanced)
17,8,7,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,4,3,4,30,DEU,20-35,Multimodal (Advanced)
17,9,8,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,5,3,30,DEU,20-35,Multimodal (Advanced)
18,1,0,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,5,1,30,DEU,20-35,Unimodal (Audio Only)
18,2,1,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2,5,1,30,DEU,20-35,Unimodal (Audio Only)
18,3,2,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,4,5,4,30,DEU,20-35,Unimodal (Audio Only)
18,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,5,2,30,DEU,20-35,Multimodal (Simple)
18,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2,5,3,30,DEU,20-35,Multimodal (Simple)
18,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,5,4,30,DEU,20-35,Multimodal (Simple)
18,7,6,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,5,3,30,DEU,20-35,Multimodal (Advanced)
18,8,7,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,5,4,30,DEU,20-35,Multimodal (Advanced)
18,9,8,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,2,5,3,30,DEU,20-35,Multimodal (Advanced)
19,1,0,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,3,3,35,CHE,>35,Unimodal (Audio Only)
19,2,1,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,4,3,4,35,CHE,>35,Unimodal (Audio Only)
19,3,2,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,4,3,4,35,CHE,>35,Unimodal (Audio Only)
19,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,4,3,3,35,CHE,>35,Multimodal (Simple)
