survey_id,step,step_idx,model_id,seed_song_id,genre,playlist_number,song_id,song_name,rating,age,country,age_group,model_type
7,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,36917,Am I Evil? (Remastered),True,18,GBR,<20,Multimodal (Advanced)
7,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,59600,Breakdown,True,18,GBR,<20,Multimodal (Advanced)
7,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2306,History,False,18,GBR,<20,Multimodal (Advanced)
7,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,7071,Take It From Here,False,18,GBR,<20,Multimodal (Advanced)
7,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,32740,Freedom! '90 - Remastered,False,18,GBR,<20,Multimodal (Advanced)
7,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,52126,Whatcha Know 'Bout That,False,18,GBR,<20,Multimodal (Advanced)
7,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,63394,Drive,True,18,GBR,<20,Multimodal (Advanced)
7,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,18347,You Know My Steez,True,18,GBR,<20,Multimodal (Advanced)
7,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,21768,Not Thinkin' Bout You,False,18,GBR,<20,Multimodal (Advanced)
7,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,24950,Wrecking Ball,True,18,GBR,<20,Multimodal (Advanced)
7,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,31139,The Recluse,True,18,GBR,<20,Multimodal (Advanced)
7,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,31187,If You’re Too Shy (Let Me Know) - Edit,False,18,GBR,<20,Multimodal (Advanced)
7,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,10891,Bed of Lies,True,18,GBR,<20,Unimodal (Album Covers Only)
7,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,23378,Last Beautiful Girl,True,18,GBR,<20,Unimodal (Album Covers Only)
7,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,26095,Still Searching,True,18,GBR,<20,Unimodal (Album Covers Only)
7,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,36917,Am I Evil? (Remastered),True,18,GBR,<20,Unimodal (Album Covers Only)
